Nom,Début,Fin,Lieu,Description
Transmissions guidées,2021-10-13 07:15:00+00:00,2021-10-13 10:15:00+00:00,RT-Labo Telecoms 2,"

RT2App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-11-08 13:00:00+00:00,2021-11-08 15:00:00+00:00,RT-Salle-TD1,"

TDBell
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Administration système,2022-02-08 07:15:00+00:00,2022-02-08 09:15:00+00:00,RT-Labo Informatique 2,"

RT1Turing
RT1Shannon1
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-09-28 12:00:00+00:00,2021-09-28 16:00:00+00:00,RT-Labo Informatique 2,"

RT1Turing
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Applications informatiques,2021-10-28 06:15:00+00:00,2021-10-28 10:15:00+00:00,RT-Labo Informatique 3,"

RT2Hamming
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-10-18 08:15:00+00:00,2021-10-18 10:15:00+00:00,RT-Salle-TD1,"

TDFourier
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Programmation appareils CISCO,2022-01-07 12:30:00+00:00,2022-01-07 16:15:00+00:00,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
BACONNIER RICHARD
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-09-14 06:15:00+00:00,2021-09-14 08:15:00+00:00,RT-Salle-TD3,"

RT2App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
SAE14: Se présenter sur Internet,2022-01-10 13:00:00+00:00,2022-01-10 16:00:00+00:00,RT-Labo Informatique 1,"

RT1Turing
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-11-10 07:15:00+00:00,2021-11-10 09:15:00+00:00,RT-Salle Labo Visio,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-09-13 06:15:00+00:00,2021-09-13 08:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Anglais,2021-11-09 07:15:00+00:00,2021-11-09 09:15:00+00:00,RT-Labo Informatique 1,"

RT2Dijkstra
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Scripts avancés,2021-10-01 06:15:00+00:00,2021-10-01 10:15:00+00:00,RT-Labo Informatique 3,"

RT2Dijkstra
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Visite Orange - Cuivre,2021-10-15 07:15:00+00:00,2021-10-15 10:15:00+00:00,,"

RT2App
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
"
SAE11: Cybersécurité,2021-09-23 06:15:00+00:00,2021-09-23 10:15:00+00:00,RT-Labo Informatique 2,"

RT1Turing
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-01-31 13:00:00+00:00,2022-01-31 15:00:00+00:00,RT-Amphi,"

TDBell
TDFourier
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
DS TP Applications informatiques,2021-11-24 13:00:00+00:00,2021-11-24 15:00:00+00:00,RT-Labo Informatique 2,"

RT2Dijkstra
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Anglais général,2021-12-01 13:00:00+00:00,2021-12-01 15:00:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Supports de transmission pour les réseaux locaux,2021-12-07 07:15:00+00:00,2021-12-07 09:15:00+00:00,RT-Salle-TD2,"

TDFourier
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-10-14 06:15:00+00:00,2021-10-14 08:15:00+00:00,RT-Salle-TD2,"

TDFourier
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Fibres optiques,2021-12-16 08:15:00+00:00,2021-12-16 11:15:00+00:00,RT-Labo Electronique 1,"

RT2Hamming
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
DS Gestion d'annuaires unifiés,2021-12-06 15:00:00+00:00,2021-12-06 16:00:00+00:00,RT-Amphi,"

RT2Dijkstra
RT2Hamming
MANSOURI ALAMIN
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-21 07:15:00+00:00,2022-01-21 11:15:00+00:00,RT-Labo Informatique 1,"

RT1App
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-09-17 11:30:00+00:00,2021-09-17 13:30:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-09 07:15:00+00:00,2021-12-09 11:15:00+00:00,RT-Labo reseaux 2,"

RT1Shannon1
RT1Shannon2
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Anglais général,2021-11-24 07:15:00+00:00,2021-11-24 09:15:00+00:00,RT-Labo Informatique 3,"

RT1Turing
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
SAE11: Cybersécurité,2021-09-23 06:15:00+00:00,2021-09-23 10:15:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
(Exported :05/01/2022 11:04)
"
Administration système,2021-10-27 12:00:00+00:00,2021-10-27 14:00:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
CM Supervision et sécurisation du SI,2021-11-16 12:30:00+00:00,2021-11-16 14:30:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Mathématiques des systèmes numériques,2022-02-18 07:15:00+00:00,2022-02-18 09:15:00+00:00,RT-Salle-TD1,"

RT1Huffman
RT1Shannon2
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Anglais,2021-11-22 09:15:00+00:00,2021-11-22 11:15:00+00:00,RT-Labo Informatique 3,"

RT2Hamming
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-11-15 09:15:00+00:00,2021-11-15 11:15:00+00:00,RT-Salle-TD2,"

TDFourier
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
SAE14: Se présenter sur Internet,2022-01-13 07:15:00+00:00,2022-01-13 11:15:00+00:00,RT-Labo Informatique 2,"

RT1Turing
(Exported :05/01/2022 11:04)
"
DS Architecture des systèmes numériques et informatiques,2022-01-10 07:15:00+00:00,2022-01-10 09:15:00+00:00,RT-Salle Labo Visio,"

RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Infrastructure sans fil,2021-11-08 07:15:00+00:00,2021-11-08 09:15:00+00:00,RT-Salle-TD4,"

RT2-S3
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-10-04 06:15:00+00:00,2021-10-04 08:15:00+00:00,RT-Salle-TD1,"

TDBell
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Anglais général,2021-10-13 12:00:00+00:00,2021-10-13 14:00:00+00:00,RT-Labo Informatique 2,"

RT1Shannon2
RT1Shannon1
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
TP Supervision et sécurisation du SI,2021-12-07 12:30:00+00:00,2021-12-07 14:30:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Projet Personnel et Professionnel,2021-09-10 08:15:00+00:00,2021-09-10 10:15:00+00:00,RT-Amphi,"

TDBell
TDFourier
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Gestion de projet,2022-01-21 12:30:00+00:00,2022-01-21 14:30:00+00:00,RT-Salle-TD1,"

TDBell
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Administration système,2022-02-18 12:30:00+00:00,2022-02-18 16:30:00+00:00,RT-Labo Informatique 3,"

RT1Shannon2
RT1Shannon1
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Administration système,2022-02-11 12:30:00+00:00,2022-02-11 16:30:00+00:00,RT-Labo Informatique 1,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-09-27 08:15:00+00:00,2021-09-27 10:15:00+00:00,RT-Salle-TD1,"

TDBell
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Anglais général,2021-12-08 13:00:00+00:00,2021-12-08 15:00:00+00:00,RT-Salle Info CAO,"

RT1Huffman
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Expression Culture Comm pro - Outils info,2021-09-15 06:15:00+00:00,2021-09-15 10:15:00+00:00,GC-ISAT R10 Info petite,"

RT1Huffman
TROUTTET SYLVAIN
(Exported :05/01/2022 11:04)
"
Transmission large bande,2021-10-25 06:15:00+00:00,2021-10-25 10:15:00+00:00,RT-Labo Telecoms 1,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2021-12-17 07:15:00+00:00,2021-12-17 11:15:00+00:00,RT-Salle Labo Visio,"

RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-02-07 15:00:00+00:00,2022-02-07 17:00:00+00:00,,"

RT1App
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Administration système,2022-02-07 13:00:00+00:00,2022-02-07 17:00:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Gestion d'annuaires unifiés,2021-11-26 07:15:00+00:00,2021-11-26 11:15:00+00:00,RT-Labo Informatique 1,"

RT2Dijkstra
MANSOURI ALAMIN
(Exported :05/01/2022 11:04)
"
Introduction aux technologies Web,2021-09-10 06:15:00+00:00,2021-09-10 08:15:00+00:00,"RT-Labo Informatique 2,RT-Labo Informatique 1","

TDFourier
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-03 09:15:00+00:00,2022-01-03 11:15:00+00:00,RT-Salle-TD2,"

TDFourier
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Electronique,2021-10-26 06:15:00+00:00,2021-10-26 08:15:00+00:00,RT-Salle-TD1,"

TDBell
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-11-08 08:15:00+00:00,2021-11-08 11:15:00+00:00,RT-Labo reseaux 2,"

RT1Shannon1
RT1Shannon2
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-10-04 08:15:00+00:00,2021-10-04 10:15:00+00:00,RT-Salle-TD1,"

TDFourier
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Anglais,2021-10-19 08:15:00+00:00,2021-10-19 10:15:00+00:00,RT-Labo Informatique 1,"

RT2Dijkstra
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Gestion de projet,2022-01-10 09:15:00+00:00,2022-01-10 11:15:00+00:00,RT-Salle Labo Visio,"

RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Expression Culture Communications professionnelles,2021-11-17 07:15:00+00:00,2021-11-17 09:15:00+00:00,RT-Salle-TD2,"

RT1Turing
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2021-11-30 07:15:00+00:00,2021-11-30 11:15:00+00:00,RT-Labo reseaux 2,"

RT1Shannon1
RT1Shannon2
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Communication,2021-11-10 13:00:00+00:00,2021-11-10 15:00:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Gestion - Analyse des coûts,2022-02-08 12:30:00+00:00,2022-02-08 16:15:00+00:00,RT-Salle-TD3,"

LP-CyberSécurité
LP-GSIE-ARE-1
HOUDIN ELISA
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-01-24 07:15:00+00:00,2022-01-24 09:15:00+00:00,RT-Amphi,"

TDBell
TDFourier
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
CM Hacking éthique,2021-11-18 14:30:00+00:00,2021-11-18 16:30:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Anglais,2021-10-20 06:15:00+00:00,2021-10-20 08:15:00+00:00,RT-Labo Informatique 2,"

RT2Hamming
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-11-15 13:00:00+00:00,2021-11-15 15:00:00+00:00,RT-Labo Informatique 2,"

TDBell
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Introduction aux technologies Web,2021-09-08 12:00:00+00:00,2021-09-08 14:00:00+00:00,"RT-Labo Informatique 2,RT-Labo Informatique 1","

TDFourier
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Programmation appareils CISCO,2022-01-04 07:15:00+00:00,2022-01-04 11:00:00+00:00,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
BACONNIER RICHARD
(Exported :05/01/2022 11:04)
"
SE15: Traiter des données,2022-01-14 12:30:00+00:00,2022-01-14 16:30:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
(Exported :05/01/2022 11:04)
"
Réseaux opérateurs MR,2021-11-15 07:15:00+00:00,2021-11-15 09:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2021-12-13 13:00:00+00:00,2021-12-13 17:00:00+00:00,RT-Labo Informatique 2,"

RT1Turing
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
DS Technologies d'accès,2021-10-19 08:15:00+00:00,2021-10-19 10:15:00+00:00,RT-Salle-TD4,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-11-19 08:15:00+00:00,2021-11-19 11:15:00+00:00,RT-Labo Informatique 1,"

RT1Turing
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
SAE13: Telecommunication,2022-01-19 13:00:00+00:00,2022-01-19 17:00:00+00:00,RT-Labo Electronique 1,"

RT1Turing
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-10-28 07:15:00+00:00,2021-10-28 10:15:00+00:00,RT-Labo reseaux 2,"

RT1Huffman
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
TP Supervision et sécurisation du SI,2021-11-16 09:15:00+00:00,2021-11-16 11:15:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-02-16 13:00:00+00:00,2022-02-16 17:00:00+00:00,RT-Labo reseaux 1,"

RT1Huffman
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-15 13:00:00+00:00,2021-12-15 17:00:00+00:00,RT-Labo reseaux 2,"

RT1Turing
(Exported :05/01/2022 11:04)
"
Gestion - Analyse des coûts,2022-01-12 12:30:00+00:00,2022-01-12 16:15:00+00:00,RT-Salle-TD4,"

LP-CyberSécurité
LP-GSIE-ARE-1
HOUDIN ELISA
(Exported :05/01/2022 11:04)
"
DS Expression Culture Communications professionnelles,2021-12-01 07:15:00+00:00,2021-12-01 09:15:00+00:00,RT-Amphi,"

RT1-S1
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
DS TP Scripts avancés,2021-10-27 08:15:00+00:00,2021-10-27 10:15:00+00:00,RT-Labo Informatique 2,"

RT2Dijkstra
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Gestion de projet,2022-01-04 07:15:00+00:00,2022-01-04 09:15:00+00:00,RT-Amphi,"

RT1-S1
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2022-01-03 13:00:00+00:00,2022-01-03 17:00:00+00:00,RT-Salle Labo Visio,"

RT1App
(Exported :05/01/2022 11:04)
"
Projet Personnel et Professionnel,2021-10-04 06:15:00+00:00,2021-10-04 08:15:00+00:00,RT-Labo Informatique 2,"

TDFourier
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Scripts avancés,2021-10-18 06:15:00+00:00,2021-10-18 10:15:00+00:00,RT-Labo Informatique 3,"

RT2Hamming
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-10-22 06:15:00+00:00,2021-10-22 10:15:00+00:00,RT-Labo Informatique 3,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-09-07 14:00:00+00:00,2021-09-07 16:00:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Réseaux cellulaires,2021-12-17 09:15:00+00:00,2021-12-17 11:15:00+00:00,RT-Salle-TD4,"

RT2Hamming
RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Electronique,2021-10-19 12:00:00+00:00,2021-10-19 15:00:00+00:00,RT-Labo Electronique 1,"

RT1App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-10-04 14:00:00+00:00,2021-10-04 16:00:00+00:00,"RT-Labo Informatique 1,RT-Labo Informatique 2","

TDFourier
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Fibres optiques,2021-12-15 13:00:00+00:00,2021-12-15 15:00:00+00:00,RT-Salle-TD4,"

RT2Hamming
RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Signaux et systèmes pour les transmissions,2022-02-14 13:00:00+00:00,2022-02-14 16:00:00+00:00,RT-Labo Telecoms 2,"

RT1Shannon2
RT1Shannon1
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Photos pour trombinoscope,2021-09-01 08:00:00+00:00,2021-09-01 08:15:00+00:00,RT-Labo Telecoms 2,"

RT2-S3
(Exported :05/01/2022 11:04)
"
PPP,2021-10-11 14:00:00+00:00,2021-10-11 16:00:00+00:00,"RT-Labo Informatique 2,RT-Labo Informatique 1","

RT2Dijkstra
RT2App
RT2Hamming
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Administration système,2021-11-24 08:15:00+00:00,2021-11-24 11:15:00+00:00,RT-Labo Informatique 2,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Anglais,2021-12-09 09:15:00+00:00,2021-12-09 11:15:00+00:00,RT-Labo Informatique 2,"

RT2Hamming
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Anglais général,2021-12-08 09:15:00+00:00,2021-12-08 11:15:00+00:00,RT-Labo Informatique 3,"

RT1Shannon2
RT1Shannon1
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
DS Anglais,2021-12-15 07:15:00+00:00,2021-12-15 09:15:00+00:00,RT-Salle-TD2,"

TDBell
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Sources de données,2022-02-07 13:00:00+00:00,2022-02-07 17:00:00+00:00,RT-Labo Informatique 1,"

RT1Shannon2
RT1Shannon1
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Electronique,2021-11-23 08:15:00+00:00,2021-11-23 11:15:00+00:00,RT-Labo Electronique 1,"

RT1Huffman
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
SAE14: Se présenter sur Internet,2022-01-05 13:00:00+00:00,2022-01-05 17:00:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Gestion d'annuaires unifiés,2021-12-02 07:15:00+00:00,2021-12-02 11:15:00+00:00,RT-Labo Informatique 3,"

RT2Dijkstra
MANSOURI ALAMIN
(Exported :05/01/2022 11:04)
"
Fibres optiques,2021-12-14 09:15:00+00:00,2021-12-14 11:15:00+00:00,RT-Salle-TD4,"

RT2Hamming
RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Transmission large bande,2021-10-18 06:15:00+00:00,2021-10-18 10:15:00+00:00,RT-Labo Telecoms 1,"

RT2Dijkstra
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-13 15:00:00+00:00,2021-12-13 16:00:00+00:00,RT-Salle Labo Visio,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-10 07:15:00+00:00,2022-01-10 11:15:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Mathématiques des systèmes numériques,2022-02-18 09:15:00+00:00,2022-02-18 11:15:00+00:00,RT-Salle-TD2,"

RT1Shannon1
RT1Turing
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Anglais,2021-12-06 09:15:00+00:00,2021-12-06 11:15:00+00:00,RT-Labo Informatique 1,"

RT2Dijkstra
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-10-29 08:15:00+00:00,2021-10-29 10:15:00+00:00,RT-Salle-TD2,"

TDFourier
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
DS Infrastructure sans fil,2021-12-06 07:15:00+00:00,2021-12-06 09:15:00+00:00,RT-Salle-TD4,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2021-11-26 07:15:00+00:00,2021-11-26 08:45:00+00:00,RT-Salle-TD1,"

TDBell
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2021-12-03 12:30:00+00:00,2021-12-03 16:30:00+00:00,RT-Labo reseaux 1,"

RT1Shannon1
RT1Shannon2
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
BDD : ADMINISTRATION,2021-12-14 12:30:00+00:00,2021-12-14 16:15:00+00:00,RT-Labo Informatique 1,"

LP-CyberSécurité
LP-GSIE-ARE-1
PRESLES BENOÎT
(Exported :05/01/2022 11:04)
"
Transmission large bande,2021-10-29 11:30:00+00:00,2021-10-29 13:30:00+00:00,RT-Labo Telecoms 1,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-10-06 12:00:00+00:00,2021-10-06 16:00:00+00:00,RT-Labo reseaux 1,"

RT1Turing
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2021-12-15 07:15:00+00:00,2021-12-15 11:15:00+00:00,RT-Labo reseaux 2,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-06 09:15:00+00:00,2021-12-06 10:45:00+00:00,RT-Salle-TD2,"

TDFourier
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
SAE14: Se présenter sur Internet,2022-01-10 07:15:00+00:00,2022-01-10 11:15:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
(Exported :05/01/2022 11:04)
"
Réunion de rentrée avec le directeur de l'IUT - Amphi TC,2021-09-09 12:00:00+00:00,2021-09-09 14:00:00+00:00,,"

RT1-S1
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-10-14 08:15:00+00:00,2021-10-14 10:15:00+00:00,RT-Salle-TD1,"

TDBell
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Administration système,2021-11-26 12:30:00+00:00,2021-11-26 15:30:00+00:00,RT-Labo Informatique 2,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-05 12:00:00+00:00,2021-10-05 16:00:00+00:00,RT-Labo Informatique 3,"

RT1Huffman
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Analyse et traitement de données structurées,2022-02-16 13:00:00+00:00,2022-02-16 17:00:00+00:00,RT-Labo Informatique 3,"

RT1Shannon2
RT1Shannon1
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
DS TP Infrastructure sans fil,2021-12-02 07:15:00+00:00,2021-12-02 08:45:00+00:00,RT-Labo Telecoms 1,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-02-14 07:15:00+00:00,2022-02-14 11:15:00+00:00,RT-Labo reseaux 1,"

RT1Turing
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-09-23 06:15:00+00:00,2021-09-23 08:15:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-12-06 15:00:00+00:00,2021-12-06 17:00:00+00:00,RT-Salle Labo Visio,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-10-04 11:15:00+00:00,2021-10-04 13:15:00+00:00,RT-Salle-TD3,"

RT1App
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-10-20 12:00:00+00:00,2021-10-20 15:00:00+00:00,RT-Labo reseaux 2,"

RT1Huffman
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Expression Culture Comm pro - Outils info,2021-09-08 14:00:00+00:00,2021-09-08 16:00:00+00:00,GC-ISAT 111 Info,"

RT1Turing
TROUTTET SYLVAIN
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-13 07:15:00+00:00,2021-12-13 11:15:00+00:00,RT-Labo reseaux 1,"

RT1Huffman
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Electronique,2021-11-22 08:15:00+00:00,2021-11-22 11:15:00+00:00,RT-Labo Electronique 1,"

RT1Shannon1
RT1Shannon2
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
SE15: Traiter des données,2022-01-19 07:15:00+00:00,2022-01-19 11:15:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-17 08:15:00+00:00,2022-01-17 11:15:00+00:00,RT-Labo Informatique 2,"

RT1App
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-22 06:15:00+00:00,2021-09-22 08:15:00+00:00,RT-Salle Labo Visio,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-10-20 08:15:00+00:00,2021-10-20 10:15:00+00:00,RT-Labo Informatique 2,"

RT2Dijkstra
RT2Hamming
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-10-27 06:15:00+00:00,2021-10-27 08:15:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2021-11-26 12:30:00+00:00,2021-11-26 16:30:00+00:00,RT-Labo reseaux 2,"

RT1Shannon1
RT1Shannon2
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
DS TP Electronique,2021-12-08 08:15:00+00:00,2021-12-08 11:15:00+00:00,RT-Labo Electronique 1,"

RT1App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
SAE13: Telecommunication,2022-01-21 12:30:00+00:00,2022-01-21 16:30:00+00:00,RT-Labo Electronique 1,"

RT1App
(Exported :05/01/2022 11:04)
"
