Nom,Début,Fin,Lieu,Description
SAE12: Réseaux,2021-12-14 09:15:00+00:00,2021-12-14 11:15:00+00:00,RT-Salle Labo Visio,"

RT1App
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-29 06:15:00+00:00,2021-09-29 08:15:00+00:00,RT-Labo Informatique 3,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Electromagnétisme,2021-10-19 12:00:00+00:00,2021-10-19 14:00:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Scripts avancés,2021-10-04 06:15:00+00:00,2021-10-04 10:15:00+00:00,RT-Labo Informatique 1,"

RT2Hamming
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Réseaux cellulaires,2022-01-03 13:00:00+00:00,2022-01-03 16:00:00+00:00,RT-Labo Informatique 1,"

RT2Hamming
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2021-11-19 12:30:00+00:00,2021-11-19 14:30:00+00:00,RT-Salle Labo Visio,"

RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
DS Réseaux locaux et équipements actifs,2022-01-07 09:15:00+00:00,2022-01-07 11:15:00+00:00,RT-Salle Labo Visio,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-11-16 13:00:00+00:00,2021-11-16 16:00:00+00:00,RT-Labo reseaux 2,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Services réseaux avancés,2022-01-03 13:00:00+00:00,2022-01-03 17:00:00+00:00,RT-Labo Informatique 2,"

RT2Dijkstra
PERNOT ANTOINE
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-10-11 14:00:00+00:00,2021-10-11 16:00:00+00:00,RT-Salle Labo Visio,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2021-12-13 07:15:00+00:00,2021-12-13 09:15:00+00:00,RT-Salle Labo Visio,"

RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
TP Supervision et sécurisation du SI,2021-12-10 12:30:00+00:00,2021-12-10 14:30:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Projets tuteurés,2021-10-12 12:00:00+00:00,2021-10-12 14:00:00+00:00,,"

RT2Hamming
RT2Dijkstra
Réunion/Evènement
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2022-01-05 13:00:00+00:00,2022-01-05 15:00:00+00:00,RT-Labo reseaux 2,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2021-12-06 13:00:00+00:00,2021-12-06 17:00:00+00:00,RT-Labo reseaux 2,"

RT1Huffman
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Systèmes et stockage virtualisés,2021-11-18 07:15:00+00:00,2021-11-18 11:00:00+00:00,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
(Exported :05/01/2022 11:04)
"
Systèmes et stockage virtualisés,2021-11-18 12:30:00+00:00,2021-11-18 16:15:00+00:00,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
(Exported :05/01/2022 11:04)
"
TP Supervision et sécurisation du SI,2022-01-04 14:30:00+00:00,2022-01-04 16:30:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Réseaux opérateurs MR,2021-11-23 09:15:00+00:00,2021-11-23 11:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
LINUX,2022-01-12 07:15:00+00:00,2022-01-12 11:00:00+00:00,RT-Labo Informatique 3,"

LP-CyberSécurité
LP-GSIE-ARE-1
BOUCHER ARNAUD
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-09 06:15:00+00:00,2021-09-09 08:15:00+00:00,"RT-Salle-TD2,RT-Labo Informatique 2","

TDFourier
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Sources de données,2022-02-01 15:00:00+00:00,2022-02-01 17:00:00+00:00,RT-Salle-TD1,"

TDBell
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Arcitecture 3-Tier,2022-02-07 12:30:00+00:00,2022-02-07 16:15:00+00:00,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
(Exported :05/01/2022 11:04)
"
Infrastructure sans fil,2021-11-23 13:00:00+00:00,2021-11-23 15:00:00+00:00,RT-Labo Telecoms 1,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Anglais,2022-01-07 07:15:00+00:00,2022-01-07 09:15:00+00:00,RT-Labo Informatique 2,"

RT2Hamming
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-11-10 13:00:00+00:00,2021-11-10 16:00:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2021-12-16 12:30:00+00:00,2021-12-16 16:30:00+00:00,RT-Labo Informatique 1,"

RT1Turing
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-11 07:15:00+00:00,2022-01-11 09:15:00+00:00,RT-Salle Labo Visio,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Transmission large bande,2022-01-10 08:15:00+00:00,2022-01-10 11:15:00+00:00,RT-Labo Telecoms 1,"

RT2Hamming
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-10-04 14:00:00+00:00,2021-10-04 16:00:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
DS TP Initiation réseaux,2021-10-08 11:30:00+00:00,2021-10-08 15:30:00+00:00,RT-Labo reseaux 1,"

RT1Shannon1
RT1Shannon2
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
PortFolio - CISCO,2021-12-15 09:15:00+00:00,2021-12-15 11:15:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-10-08 07:15:00+00:00,2021-10-08 10:15:00+00:00,RT-Labo Telecoms 2,"

RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Gestion de projet,2022-01-11 09:15:00+00:00,2022-01-11 11:15:00+00:00,RT-Salle Labo Visio,"

RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Applications informatiques,2021-10-22 08:15:00+00:00,2021-10-22 10:15:00+00:00,RT-Labo Informatique 2,.
